   46 train 1:10.32627 | 2:9.54226 | 3:9.40140
   47 train 1:10.30731 | 2:9.56782 | 3:9.26331
   48 train 1:10.28195 | 2:9.49148 | 3:9.13923
   49 train 1:10.25234 | 2:9.42436 | 3:9.11420
   50 train 1:10.28616 | 2:9.49461 | 3:9.14270
   51 train 1:10.21046 | 2:9.27261 | 3:8.98319
   52 train 1:10.20179 | 2:9.33716 | 3:9.00392
   53 train 1:10.20568 | 2:9.29780 | 3:8.94150
   54 train 1:10.17057 | 2:9.25849 | 3:8.89597
   55 train 1:10.17288 | 2:9.21922 | 3:8.85542
   56 train 1:10.18373 | 2:9.35099 | 3:9.01740
   57 train 1:10.16086 | 2:9.21189 | 3:8.86440
   58 train 1:10.11243 | 2:9.10461 | 3:8.72670
   59 train 1:10.09625 | 2:9.16309 | 3:8.78539
   60 train 1:10.06092 | 2:8.97739 | 3:8.61332
   61 train 1:10.08319 | 2:9.08794 | 3:8.64435
   62 train 1:10.03503 | 2:8.96075 | 3:8.66150
   63 train 1:10.06574 | 2:9.04696 | 3:8.71284
   64 train 1:9.99463 | 2:8.91378 | 3:8.50261
   65 train 1:9.94016 | 2:8.76907 | 3:8.54327
   66 train 1:10.00081 | 2:8.94385 | 3:8.59960
   67 train 1:9.95131 | 2:8.90994 | 3:8.51122
   68 train 1:9.85997 | 2:8.65870 | 3:8.29938
   69 train 1:9.82963 | 2:8.70336 | 3:8.39471
   70 train 1:9.84084 | 2:8.61368 | 3:8.28818
   71 train 1:9.86243 | 2:8.67517 | 3:8.28442
   72 train 1:9.79567 | 2:8.59631 | 3:8.14771
   73 train 1:9.73589 | 2:8.49153 | 3:8.14113
   74 train 1:9.75697 | 2:8.56123 | 3:8.08207
   75 train 1:9.76118 | 2:8.53945 | 3:8.12775
   76 train 1:9.84772 | 2:8.84756 | 3:8.29599
   77 train 1:9.73262 | 2:8.51934 | 3:8.20940
   78 train 1:9.70114 | 2:8.51607 | 3:8.15748
   79 train 1:9.70243 | 2:8.54062 | 3:8.09813
   80 train 1:9.71934 | 2:8.65624 | 3:8.17115
   81 train 1:9.67056 | 2:8.50897 | 3:8.20400
   82 train 1:9.59188 | 2:8.34452 | 3:7.94714
   83 train 1:9.55318 | 2:8.30550 | 3:7.91572
   84 train 1:9.63368 | 2:8.51753 | 3:8.10850
   85 train 1:9.53125 | 2:8.36159 | 3:7.92273
   86 train 1:9.56542 | 2:8.58461 | 3:8.21474
   87 train 1:9.32268 | 2:7.95454 | 3:7.51564
   88 train 1:9.35455 | 2:8.06332 | 3:7.64041
   89 train 1:9.38431 | 2:8.24023 | 3:7.85601
   90 train 1:9.37973 | 2:8.45135 | 3:8.13421
   91 train 1:9.28832 | 2:8.13246 | 3:7.77979
   92 train 1:9.15172 | 2:7.97117 | 3:7.62607
   93 train 1:9.27265 | 2:8.18005 | 3:7.90653
   94 train 1:9.48595 | 2:8.67788 | 3:8.32849
   95 train 1:9.13912 | 2:7.97612 | 3:7.63445
   96 train 1:9.25066 | 2:8.27269 | 3:7.92133
   97 train 1:9.03889 | 2:8.14498 | 3:7.86569
   98 train 1:8.85506 | 2:7.98688 | 3:7.78689
   99 train 1:9.01971 | 2:8.06760 | 3:7.77613
  100 train 1:9.04702 | 2:8.25923 | 3:7.95603
  101 train 1:8.90679 | 2:7.92804 | 3:7.66891
  102 train 1:8.90332 | 2:8.04197 | 3:7.77896
  103 train 1:8.79093 | 2:7.99405 | 3:7.77528
  104 train 1:8.96442 | 2:8.20255 | 3:8.01985
  105 train 1:8.71942 | 2:7.92481 | 3:7.72303
  106 train 1:8.70819 | 2:8.02630 | 3:7.85125
  107 train 1:8.61628 | 2:7.77240 | 3:7.54287
  108 train 1:8.65244 | 2:7.96401 | 3:7.72942
  109 train 1:8.57158 | 2:7.89916 | 3:7.67953
  110 train 1:8.46431 | 2:7.78278 | 3:7.61677
  111 train 1:8.54250 | 2:7.90792 | 3:7.73053
  112 train 1:8.49066 | 2:7.91713 | 3:7.74481
  113 train 1:8.70156 | 2:8.21435 | 3:8.00766
  114 train 1:8.45876 | 2:7.91891 | 3:7.73802
  115 train 1:8.18925 | 2:7.64399 | 3:7.50360
  116 train 1:8.27773 | 2:7.81172 | 3:7.71113
  117 train 1:8.28539 | 2:7.84478 | 3:7.72563
  118 train 1:8.18723 | 2:7.78339 | 3:7.66137
  119 train 1:8.18542 | 2:7.78442 | 3:7.74424
  120 train 1:8.22086 | 2:7.86331 | 3:7.72937
  121 train 1:7.96575 | 2:7.60469 | 3:7.55026
  122 train 1:8.06644 | 2:7.72057 | 3:7.66535
  123 train 1:7.96786 | 2:7.60036 | 3:7.51375
  124 train 1:8.07105 | 2:7.76900 | 3:7.69229
  125 train 1:8.01538 | 2:7.76912 | 3:7.70941
  126 train 1:7.92233 | 2:7.62387 | 3:7.55165
  127 train 1:7.98322 | 2:7.74795 | 3:7.65403
  128 train 1:7.83113 | 2:7.60148 | 3:7.56168
  129 train 1:8.11230 | 2:7.94655 | 3:7.89148
  130 train 1:7.89314 | 2:7.67558 | 3:7.60906
  131 train 1:7.96099 | 2:7.81629 | 3:7.71883
  132 train 1:7.77451 | 2:7.65442 | 3:7.61394
  133 train 1:7.82417 | 2:7.74433 | 3:7.69429
  134 train 1:7.87749 | 2:7.81929 | 3:7.80868
  135 train 1:7.73196 | 2:7.64237 | 3:7.64982
  136 train 1:7.73875 | 2:7.71824 | 3:7.69668
  137 train 1:7.73545 | 2:7.73076 | 3:7.72922
  138 train 1:7.53680 | 2:7.52198 | 3:7.51912
  139 train 1:7.64735 | 2:7.64801 | 3:7.67714
  140 train 1:7.80708 | 2:7.79225 | 3:7.82734
  141 train 1:7.79245 | 2:7.85789 | 3:7.83970
  142 train 1:7.41052 | 2:7.40715 | 3:7.42310
  143 train 1:7.73218 | 2:7.80831 | 3:7.84098
  144 train 1:7.54297 | 2:7.63296 | 3:7.62871
  145 train 1:7.69295 | 2:7.75869 | 3:7.74344
  146 train 1:7.65100 | 2:7.75344 | 3:7.71269
  147 train 1:7.70903 | 2:7.80106 | 3:7.77329
  148 train 1:7.58361 | 2:7.71642 | 3:7.68387
  149 train 1:7.55653 | 2:7.70198 | 3:7.69167
  150 train 1:7.94085 | 2:8.04972 | 3:8.05850
  151 train 1:7.53571 | 2:7.67245 | 3:7.69686
  152 train 1:7.76999 | 2:7.90246 | 3:7.85331
  153 train 1:7.58133 | 2:7.73318 | 3:7.75784
  154 train 1:7.62358 | 2:7.83978 | 3:7.81828
  155 train 1:7.44158 | 2:7.62838 | 3:7.65389
  156 train 1:7.29711 | 2:7.52857 | 3:7.60080
  157 train 1:7.98366 | 2:8.19209 | 3:8.16041
  158 train 1:7.78235 | 2:7.97072 | 3:8.02421
  159 train 1:7.38780 | 2:7.62631 | 3:7.60847
  160 train 1:7.52013 | 2:7.71742 | 3:7.99941
  161 train 1:7.30266 | 2:7.52728 | 3:7.69181
  162 train 1:7.44681 | 2:7.65068 | 3:7.82779
  163 train 1:7.48641 | 2:7.72368 | 3:7.79218
  164 train 1:7.36023 | 2:7.61481 | 3:7.78530
  165 train 1:7.31845 | 2:7.60901 | 3:7.69441
  166 train 1:7.38341 | 2:7.68299 | 3:7.76299
  167 train 1:7.32404 | 2:7.55728 | 3:7.63568
  168 train 1:7.48383 | 2:7.71622 | 3:7.82632
  169 train 1:7.67981 | 2:7.89441 | 3:7.90612
  170 train 1:7.39640 | 2:7.64655 | 3:7.71921
  171 train 1:7.53847 | 2:7.77309 | 3:7.82859
  172 train 1:7.34901 | 2:7.61169 | 3:7.75918
  173 train 1:7.14901 | 2:7.43423 | 3:7.57175
  174 train 1:7.31779 | 2:7.60710 | 3:7.67864
  175 train 1:7.19669 | 2:7.48559 | 3:7.55981
  176 train 1:7.42986 | 2:7.70097 | 3:7.72060
  177 train 1:7.41168 | 2:7.69895 | 3:7.84411
  178 train 1:7.22312 | 2:7.50649 | 3:7.59354
  179 train 1:7.14231 | 2:7.41311 | 3:7.51944
  180 train 1:7.26431 | 2:7.55268 | 3:7.68536
  181 train 1:7.36764 | 2:7.66490 | 3:7.72849
  182 train 1:7.36097 | 2:7.63448 | 3:7.71690
  183 train 1:7.28958 | 2:7.62886 | 3:7.70535
  184 train 1:7.34758 | 2:7.66903 | 3:7.74985
  185 train 1:7.17800 | 2:7.46458 | 3:7.55167
  186 train 1:7.21683 | 2:7.55547 | 3:7.64453
  187 train 1:7.31282 | 2:7.60199 | 3:7.66324
  188 train 1:7.33674 | 2:7.66052 | 3:7.78045
  189 train 1:7.18265 | 2:7.54681 | 3:7.61904
  190 train 1:7.50298 | 2:7.82932 | 3:7.99751
  191 train 1:7.32851 | 2:7.65324 | 3:7.87894
  192 train 1:7.26550 | 2:7.62907 | 3:7.88441
  193 train 1:7.40547 | 2:7.72871 | 3:7.86997
  194 train 1:6.98158 | 2:7.36101 | 3:7.54413
  195 train 1:7.16096 | 2:7.46290 | 3:7.83161
  196 train 1:7.21420 | 2:7.63755 | 3:7.72362
  197 train 1:7.46871 | 2:7.81703 | 3:7.86459
  198 train 1:7.33110 | 2:7.73054 | 3:7.92350
  199 train 1:7.19080 | 2:7.68088 | 3:7.79246
  200 train 1:7.27702 | 2:7.65150 | 3:7.77964
  201 train 1:7.58442 | 2:7.97497 | 3:7.98871
  202 train 1:7.23508 | 2:7.62801 | 3:7.80166
  203 train 1:7.09859 | 2:7.50099 | 3:7.68877
  204 train 1:7.31066 | 2:7.69230 | 3:7.82001
  205 train 1:6.98731 | 2:7.35242 | 3:7.50408
  206 train 1:7.20745 | 2:7.63038 | 3:7.74597
  207 train 1:6.96681 | 2:7.35939 | 3:7.44797
  208 train 1:7.11803 | 2:7.53042 | 3:7.71018
  209 train 1:7.30909 | 2:7.69766 | 3:7.79051
  210 train 1:7.50806 | 2:7.92089 | 3:8.09845
  211 train 1:7.09940 | 2:7.55225 | 3:7.94294
  212 train 1:7.40879 | 2:7.89433 | 3:8.06163
  213 train 1:7.27534 | 2:7.73927 | 3:7.81723
  214 train 1:6.93361 | 2:7.37848 | 3:7.70162
  215 train 1:7.28713 | 2:7.78221 | 3:7.84370
  216 train 1:7.10587 | 2:7.55103 | 3:7.73636
  217 train 1:7.15522 | 2:7.59763 | 3:7.69447
  218 train 1:7.11254 | 2:7.56109 | 3:7.67239
  219 train 1:7.07808 | 2:7.47185 | 3:7.60071
  220 train 1:7.04520 | 2:7.53360 | 3:7.64296
  221 train 1:7.05105 | 2:7.49602 | 3:7.64103
  222 train 1:7.12408 | 2:7.58047 | 3:7.65708
  223 train 1:7.04130 | 2:7.49412 | 3:7.68856
  224 train 1:6.98603 | 2:7.44790 | 3:7.60479
  225 train 1:7.09018 | 2:7.55418 | 3:7.67623
  226 train 1:6.97213 | 2:7.45920 | 3:7.56782
  227 train 1:7.03312 | 2:7.51959 | 3:7.64674
  228 train 1:6.91016 | 2:7.40000 | 3:7.54043
  229 train 1:7.03830 | 2:7.49858 | 3:7.64917
  230 train 1:7.14778 | 2:7.63209 | 3:7.74710
  231 train 1:7.04336 | 2:7.48266 | 3:7.63881
  232 train 1:7.31678 | 2:7.72350 | 3:7.77135
  233 train 1:7.07489 | 2:7.53974 | 3:7.64029
  234 train 1:6.99105 | 2:7.40968 | 3:7.54995
  235 train 1:7.16913 | 2:7.60538 | 3:7.69674
  236 train 1:7.18358 | 2:7.58918 | 3:7.72994
  237 train 1:7.13789 | 2:7.58939 | 3:7.71287
  238 train 1:7.12910 | 2:7.58305 | 3:7.71199
  239 train 1:7.23462 | 2:7.67403 | 3:7.73818
  240 train 1:6.78536 | 2:7.31332 | 3:7.47937
  241 train 1:7.15103 | 2:7.63713 | 3:7.71656
  242 train 1:7.18700 | 2:7.66357 | 3:7.79069
  243 train 1:7.09891 | 2:7.58621 | 3:7.67155
  244 train 1:6.95726 | 2:7.44442 | 3:7.76364
  245 train 1:6.93178 | 2:7.45367 | 3:7.85684
  246 train 1:6.98097 | 2:7.50000 | 3:7.70952
  247 train 1:6.95933 | 2:7.49761 | 3:7.64244
  248 train 1:7.13798 | 2:7.64105 | 3:7.84222
  249 train 1:7.28855 | 2:7.81893 | 3:7.94337
  250 val 1:7.16655 | 2:7.65144 | 3:7.75901
  250 train 1:7.29486 | 2:7.77019 | 3:7.86633
  251 train 1:7.29286 | 2:7.78330 | 3:7.88972
  252 train 1:6.84773 | 2:7.38402 | 3:7.46337
  253 train 1:7.00859 | 2:7.55707 | 3:7.61387
  254 train 1:7.13096 | 2:7.62628 | 3:7.79279
  255 train 1:6.87604 | 2:7.49212 | 3:7.70219
  256 train 1:7.17934 | 2:7.75014 | 3:7.88309
  257 train 1:6.95341 | 2:7.51509 | 3:7.65954
  258 train 1:7.13075 | 2:7.68247 | 3:7.83569
  259 train 1:7.04898 | 2:7.63699 | 3:7.80132
  260 train 1:6.92647 | 2:7.52249 | 3:7.65364
  261 train 1:6.70147 | 2:7.32358 | 3:7.51944
  262 train 1:6.69815 | 2:7.28554 | 3:7.42556
  263 train 1:7.18301 | 2:7.72690 | 3:7.86604
  264 train 1:6.94821 | 2:7.52958 | 3:7.70708
  265 train 1:6.91570 | 2:7.49534 | 3:7.54541
  266 train 1:6.97501 | 2:7.55230 | 3:7.69205
  267 train 1:6.77141 | 2:7.41617 | 3:7.54307
  268 train 1:6.98683 | 2:7.59194 | 3:7.69910
  269 train 1:6.56868 | 2:7.21030 | 3:7.36015
  270 train 1:6.80970 | 2:7.43752 | 3:7.55411
  271 train 1:6.92651 | 2:7.50478 | 3:7.60412
  272 train 1:7.12823 | 2:7.70395 | 3:7.74871
  273 train 1:6.60256 | 2:7.21537 | 3:7.30232
  274 train 1:6.98421 | 2:7.57898 | 3:7.64933
  275 train 1:6.86722 | 2:7.48361 | 3:7.57290
  276 train 1:7.40396 | 2:7.87253 | 3:8.00152
  277 train 1:6.88519 | 2:7.55210 | 3:7.70851
  278 train 1:6.90781 | 2:7.49577 | 3:7.63258
  279 train 1:6.85641 | 2:7.47142 | 3:7.66135
  280 train 1:6.75648 | 2:7.32905 | 3:7.46592
  281 train 1:7.03118 | 2:7.57306 | 3:7.73243
  282 train 1:7.09739 | 2:7.66648 | 3:7.78240
  283 train 1:6.94883 | 2:7.52366 | 3:7.71475
  284 train 1:7.03062 | 2:7.58096 | 3:7.70656
  285 train 1:7.02708 | 2:7.62781 | 3:7.83604
  286 train 1:6.90072 | 2:7.44675 | 3:7.65826
  287 train 1:6.95849 | 2:7.58366 | 3:7.74585
  288 train 1:7.04064 | 2:7.62323 | 3:7.88331
  289 train 1:6.87233 | 2:7.49696 | 3:7.72175
  290 train 1:6.81240 | 2:7.44606 | 3:7.60183
  291 train 1:6.76969 | 2:7.40313 | 3:7.59190
  292 train 1:6.64535 | 2:7.30137 | 3:7.53503
  293 train 1:6.79422 | 2:7.44741 | 3:7.61566
  294 train 1:6.91319 | 2:7.51730 | 3:7.66954
  295 train 1:6.78013 | 2:7.43425 | 3:7.64618
  296 train 1:6.81277 | 2:7.43739 | 3:7.60099
  297 train 1:6.77876 | 2:7.40587 | 3:7.65179
  298 train 1:6.69531 | 2:7.36581 | 3:7.57823
  299 train 1:6.90785 | 2:7.54878 | 3:7.72395
  300 train 1:7.01958 | 2:7.61327 | 3:7.69721
  301 train 1:7.29859 | 2:7.81923 | 3:7.92071
  302 train 1:6.70185 | 2:7.38953 | 3:7.54484
  303 train 1:6.73188 | 2:7.38882 | 3:7.52749
  304 train 1:6.75315 | 2:7.43291 | 3:7.59868
  305 train 1:6.74637 | 2:7.39404 | 3:7.51151
  306 train 1:6.94595 | 2:7.59563 | 3:7.97013
  307 train 1:6.63497 | 2:7.35230 | 3:7.68790
  308 train 1:6.88526 | 2:7.49941 | 3:7.69905
  309 train 1:6.68088 | 2:7.34979 | 3:7.49211
  310 train 1:6.72637 | 2:7.40199 | 3:7.62037
  311 train 1:6.85543 | 2:7.50928 | 3:7.66446
  312 train 1:6.88836 | 2:7.56525 | 3:7.70631
  313 train 1:6.75802 | 2:7.43886 | 3:7.56951
  314 train 1:6.73968 | 2:7.42549 | 3:7.61866
  315 train 1:6.67494 | 2:7.36787 | 3:7.52263
  316 train 1:6.56319 | 2:7.24330 | 3:7.39218
  317 train 1:6.82772 | 2:7.48961 | 3:7.66800
  318 train 1:6.65944 | 2:7.40182 | 3:7.55882
  319 train 1:6.58758 | 2:7.29306 | 3:7.49278
  320 train 1:6.69075 | 2:7.36215 | 3:7.49735
  321 train 1:6.34898 | 2:7.06986 | 3:7.30384
  322 train 1:6.99530 | 2:7.71451 | 3:7.63219
  323 train 1:6.61492 | 2:7.34671 | 3:7.56931
  324 train 1:6.86066 | 2:7.52831 | 3:7.69522
  325 train 1:6.88746 | 2:7.58589 | 3:7.73334
  326 train 1:6.70151 | 2:7.40114 | 3:7.55772
  327 train 1:6.68761 | 2:7.40477 | 3:7.59354
  328 train 1:6.63596 | 2:7.32350 | 3:7.49582
  329 train 1:6.69924 | 2:7.40834 | 3:7.64202
  330 train 1:7.03487 | 2:7.62555 | 3:7.73905
  331 train 1:6.61301 | 2:7.29336 | 3:7.48555
  332 train 1:6.76372 | 2:7.44730 | 3:7.63171
  333 train 1:6.84829 | 2:7.51673 | 3:7.66696
  334 train 1:6.71363 | 2:7.41983 | 3:7.61648
  335 train 1:6.87635 | 2:7.59815 | 3:7.75362
  336 train 1:6.76251 | 2:7.48086 | 3:7.64196
  337 train 1:6.61945 | 2:7.33668 | 3:7.45231
  338 train 1:6.61556 | 2:7.38604 | 3:7.52170
  339 train 1:6.68469 | 2:7.39746 | 3:7.52038
  340 train 1:6.78224 | 2:7.52415 | 3:7.63952
  341 train 1:6.88705 | 2:7.59536 | 3:7.67707
  342 train 1:6.72747 | 2:7.49675 | 3:7.71230
  343 train 1:6.59715 | 2:7.34427 | 3:7.49849
  344 train 1:6.79287 | 2:7.52337 | 3:7.71095
  345 train 1:7.00113 | 2:7.71203 | 3:7.81617
  346 train 1:6.68188 | 2:7.39991 | 3:7.52345
  347 train 1:6.76142 | 2:7.46561 | 3:7.59451
  348 train 1:6.59190 | 2:7.36086 | 3:7.45861
  349 train 1:7.01521 | 2:7.72004 | 3:7.93895
  350 train 1:6.46224 | 2:7.27339 | 3:7.42873
  351 train 1:6.34264 | 2:7.12056 | 3:7.38000
  352 train 1:6.53938 | 2:7.27708 | 3:7.46139
  353 train 1:6.58794 | 2:7.35602 | 3:7.54324
  354 train 1:6.80759 | 2:7.54372 | 3:7.70483
  355 train 1:6.53219 | 2:7.29335 | 3:7.44272
  356 train 1:6.53338 | 2:7.31448 | 3:7.46170
  357 train 1:6.53066 | 2:7.28707 | 3:7.50588
  358 train 1:6.61248 | 2:7.40165 | 3:7.54451
  359 train 1:6.62287 | 2:7.35889 | 3:7.49971
  360 train 1:6.77229 | 2:7.49149 | 3:7.56751
  361 train 1:6.40074 | 2:7.19791 | 3:7.47963
  362 train 1:6.67538 | 2:7.45729 | 3:7.62068
  363 train 1:6.48404 | 2:7.27712 | 3:7.52354
  364 train 1:6.45773 | 2:7.23712 | 3:7.45138
  365 train 1:6.56291 | 2:7.34539 | 3:7.53440
  366 train 1:6.68503 | 2:7.41232 | 3:7.57410
  367 train 1:6.61322 | 2:7.38578 | 3:7.54957
  368 train 1:6.56396 | 2:7.32525 | 3:7.55674
  369 train 1:6.42411 | 2:7.21005 | 3:7.39678
  370 train 1:6.52393 | 2:7.29892 | 3:7.59118
  371 train 1:6.61139 | 2:7.37668 | 3:7.54378
  372 train 1:6.47975 | 2:7.23934 | 3:7.50927
  373 train 1:6.51974 | 2:7.23920 | 3:7.50589
  374 train 1:6.97768 | 2:7.47714 | 3:7.30856
  375 train 1:6.69625 | 2:7.48029 | 3:7.67991
  376 train 1:6.64302 | 2:7.41033 | 3:7.57768
  377 train 1:6.69969 | 2:7.44112 | 3:7.65195
  378 train 1:6.64772 | 2:7.40344 | 3:7.52136
  379 train 1:6.64024 | 2:7.42576 | 3:7.56731
  380 train 1:6.53103 | 2:7.32479 | 3:7.48976
  381 train 1:6.71195 | 2:7.47847 | 3:7.59494
  382 train 1:6.34264 | 2:7.10715 | 3:7.29049
  383 train 1:6.60498 | 2:7.37260 | 3:7.56984
  384 train 1:6.59291 | 2:7.36153 | 3:7.50062
  385 train 1:6.68558 | 2:7.44329 | 3:7.58811
  386 train 1:6.77142 | 2:7.48159 | 3:7.61573
  387 train 1:6.34929 | 2:7.15812 | 3:7.32582
  388 train 1:6.68565 | 2:7.49797 | 3:7.63296
  389 train 1:6.82772 | 2:7.57636 | 3:7.67700
  390 train 1:6.64085 | 2:7.40838 | 3:7.56142
  391 train 1:6.56934 | 2:7.38009 | 3:7.46846
  392 train 1:6.79609 | 2:7.56400 | 3:7.77253
  393 train 1:6.77131 | 2:7.50755 | 3:7.62913
  394 train 1:6.32596 | 2:7.17334 | 3:7.42755
  395 train 1:6.62498 | 2:7.46595 | 3:7.63789
  396 train 1:6.58416 | 2:7.38183 | 3:7.53911
  397 train 1:6.56188 | 2:7.38369 | 3:7.51290
  398 train 1:6.24529 | 2:7.06827 | 3:7.23185
  399 train 1:6.42821 | 2:7.29054 | 3:7.53872
  400 train 1:6.50246 | 2:7.32179 | 3:7.50990
  401 train 1:6.62931 | 2:7.40581 | 3:7.64467
  402 train 1:6.58973 | 2:7.40621 | 3:7.53315
  403 train 1:6.57467 | 2:7.38607 | 3:7.66279
  404 train 1:6.47803 | 2:7.33230 | 3:7.60691
  405 train 1:6.39424 | 2:7.19581 | 3:7.41905
  406 train 1:6.54218 | 2:7.25182 | 3:7.34785
  407 train 1:6.47501 | 2:7.28760 | 3:7.58181
  408 train 1:6.36496 | 2:7.22618 | 3:7.47777
  409 train 1:6.53053 | 2:7.33615 | 3:7.56174
  410 train 1:7.15374 | 2:7.83823 | 3:7.91677
  411 train 1:6.55209 | 2:7.38817 | 3:7.59924
  412 train 1:6.67607 | 2:7.46617 | 3:7.67007
  413 train 1:6.51428 | 2:7.34337 | 3:7.52348
  414 train 1:6.48178 | 2:7.28089 | 3:7.47689
  415 train 1:6.46745 | 2:7.27560 | 3:7.46297
  416 train 1:6.57614 | 2:7.39025 | 3:7.56216
  417 train 1:6.44756 | 2:7.26553 | 3:7.42668
  418 train 1:6.96201 | 2:7.72836 | 3:7.79973
  419 train 1:6.61249 | 2:7.42673 | 3:7.56915
  420 train 1:6.44860 | 2:7.25165 | 3:7.39237
  421 train 1:6.58322 | 2:7.37269 | 3:7.54508
  422 train 1:6.49085 | 2:7.28421 | 3:7.39887
  423 train 1:6.45985 | 2:7.28410 | 3:7.49982
  424 train 1:6.58501 | 2:7.42664 | 3:7.55088
  425 train 1:6.34172 | 2:7.18350 | 3:7.38750
  426 train 1:6.76788 | 2:7.61226 | 3:7.73092
  427 train 1:6.61378 | 2:7.43162 | 3:7.56390
  428 train 1:6.56452 | 2:7.40724 | 3:7.54257
  429 train 1:6.44497 | 2:7.30311 | 3:7.53988
  430 train 1:6.53993 | 2:7.37733 | 3:7.55332
  431 train 1:6.54169 | 2:7.32304 | 3:7.43511
  432 train 1:6.60625 | 2:7.38242 | 3:7.48787
  433 train 1:6.55463 | 2:7.36419 | 3:7.51070
  434 train 1:6.43382 | 2:7.26951 | 3:7.42987
  435 train 1:6.32912 | 2:7.18239 | 3:7.34635
  436 train 1:6.37739 | 2:7.21181 | 3:7.34522
  437 train 1:6.78323 | 2:7.57754 | 3:7.61958
  438 train 1:6.45230 | 2:7.28476 | 3:7.44185
  439 train 1:6.43581 | 2:7.28109 | 3:7.42394
  440 train 1:6.45378 | 2:7.27993 | 3:7.38630
  441 train 1:6.53522 | 2:7.34640 | 3:7.40073
  442 train 1:6.51308 | 2:7.33502 | 3:7.43202
  443 train 1:6.28976 | 2:7.14071 | 3:7.25715
  444 train 1:6.26936 | 2:7.15771 | 3:7.30461
  445 train 1:6.53010 | 2:7.30977 | 3:7.40642
  446 train 1:6.31322 | 2:7.13070 | 3:7.24731
  447 train 1:6.27370 | 2:7.18536 | 3:7.38111
  448 train 1:6.38640 | 2:7.22548 | 3:7.36280
  449 train 1:6.27601 | 2:7.20004 | 3:7.55002
  450 train 1:6.46467 | 2:7.32649 | 3:7.54862
  451 train 1:6.64649 | 2:7.48163 | 3:7.69529
  452 train 1:6.50303 | 2:7.34492 | 3:7.57241
  453 train 1:6.46312 | 2:7.37721 | 3:7.49744
  454 train 1:6.36050 | 2:7.23430 | 3:7.40912
  455 train 1:6.37773 | 2:7.30809 | 3:7.54811
  456 train 1:6.38960 | 2:7.35889 | 3:7.55151
  457 train 1:6.39478 | 2:7.28417 | 3:7.45591
  458 train 1:6.56098 | 2:7.39722 | 3:7.49432
  459 train 1:6.46085 | 2:7.34962 | 3:7.53521
  460 train 1:6.22758 | 2:7.14823 | 3:7.29934
  461 train 1:6.26766 | 2:7.13256 | 3:7.31052
  462 train 1:6.43750 | 2:7.21023 | 3:7.34015
  463 train 1:6.47770 | 2:7.34162 | 3:7.46643
